target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,1.563543677330017
Black,$\Gamma_i$,5.232606865421088,0.31687864661216736
Black,$\nu_{iii}$,-32.69229678119011,-0.2510702311992645
Black,$\nu_{iij}$,3.8468487648737466,-1.262571930885315
Black,$\nu_{ijj}$,9.856062799745882,-0.21214209496974945
Black,$k_{ii}$,17.4193447103632,0.238308385014534
Black,$k_{ij}$,-9.496633097666733,-0.3006703853607178
White,$T_i$,0.3755539904546736,1.9187270402908325
White,$\Gamma_i$,2.4616512730183318,0.11081522703170776
White,$\nu_{iii}$,-6.40074002350609,1.0835888385772705
White,$\nu_{iij}$,-18.90620845706837,-0.40426141023635864
White,$\nu_{ijj}$,-18.60873560375226,-0.7467573881149292
White,$k_{ii}$,7.311385761355476,2.3959124088287354
White,$k_{ij}$,15.983193416357306,-0.7741701006889343
