target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.21968591213226318
Black,$\Gamma_i$,5.232606865421088,0.08895397186279297
Black,$\nu_{iii}$,-32.69229678119011,-4.497554302215576
Black,$\nu_{iij}$,3.8468487648737466,1.3314368724822998
Black,$\nu_{ijj}$,9.856062799745882,1.7423964738845825
Black,$k_{ii}$,17.4193447103632,-0.33987724781036377
Black,$k_{ij}$,-9.496633097666733,-2.699422597885132
White,$T_i$,0.3755539904546736,0.20025315880775452
White,$\Gamma_i$,2.4616512730183318,0.3213186264038086
White,$\nu_{iii}$,-6.40074002350609,-0.7682400941848755
White,$\nu_{iij}$,-18.90620845706837,-1.4377086162567139
White,$\nu_{ijj}$,-18.60873560375226,-0.989355206489563
White,$k_{ii}$,7.311385761355476,1.3006565570831299
White,$k_{ij}$,15.983193416357306,1.8486934900283813
