features,coeffsW,coeffsB
1,-0.011825317212126474,0.0033645114268768764
ϕW,0.046242638999088266,0.0
ϕB,0.0,-0.0017669340934265605
ϕW^2,-0.09618442598730326,0.0
ϕW ϕB,0.0,0.0
ϕB^2,0.0,0.04260355953804471
