target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.18630380928516388
Black,$\Gamma_i$,5.232606865421088,0.12250024080276489
Black,$\nu_{iii}$,-32.69229678119011,-4.401501178741455
Black,$\nu_{iij}$,3.8468487648737466,1.0291340351104736
Black,$\nu_{ijj}$,9.856062799745882,1.297394037246704
Black,$k_{ii}$,17.4193447103632,0.2150193601846695
Black,$k_{ij}$,-9.496633097666733,-2.2021567821502686
White,$T_i$,0.3755539904546736,0.1976672261953354
White,$\Gamma_i$,2.4616512730183318,0.2768729627132416
White,$\nu_{iii}$,-6.40074002350609,-0.6159985661506653
White,$\nu_{iij}$,-18.90620845706837,-0.9377641677856445
White,$\nu_{ijj}$,-18.60873560375226,-1.5019859075546265
White,$k_{ii}$,7.311385761355476,1.128433108329773
White,$k_{ij}$,15.983193416357306,1.5160024166107178
