state,county,growthW,growthB
California,Los Angeles,-0.00300476398204561,0.008707371713669582
Georgia,Fulton,0.007017123106585226,0.018329126695069066
Illinois,Cook,-0.009790969490076098,0.009451337476564115
Michigan,Wayne,-0.006920106293681661,0.0031984492679722836
New York,Kings,-0.005369196793349991,0.003687326821859044
Texas,Harris,0.0017889759869001,0.026797811421295784
