name,demo,val
$T_i$,B,1.7183631376594726
$T_i$,W,0.37555399045467364
$\Gamma_i$,B,-5.232606865421088
$\Gamma_i$,W,-2.4616512730183313
$\nu_{iii}$,B,32.69229678119011
$\nu_{iii}$,W,6.40074002350609
$\nu_{iij}$,B,-3.8468487648737466
$\nu_{iij}$,W,18.90620845706837
$\nu_{ijj}$,B,-9.856062799745882
$\nu_{ijj}$,W,18.60873560375226
$k_{ii}$,B,-34.8386894207264
$k_{ii}$,W,-14.622771522710952
$k_{ij}$,B,9.496633097666733
$k_{ij}$,W,-15.983193416357306
