target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.14546136558055878
Black,$\Gamma_i$,5.232606865421088,0.11228594928979874
Black,$\nu_{iii}$,-32.69229678119011,-5.026641845703125
Black,$\nu_{iij}$,3.8468487648737466,0.2792403995990753
Black,$\nu_{ijj}$,9.856062799745882,1.1626553535461426
Black,$k_{ii}$,17.4193447103632,0.3042570948600769
Black,$k_{ij}$,-9.496633097666733,-2.0541036128997803
White,$T_i$,0.3755539904546736,0.19742049276828766
White,$\Gamma_i$,2.4616512730183318,0.28339582681655884
White,$\nu_{iii}$,-6.40074002350609,-0.6722556948661804
White,$\nu_{iij}$,-18.90620845706837,-0.6441705226898193
White,$\nu_{ijj}$,-18.60873560375226,-1.413865327835083
White,$k_{ii}$,7.311385761355476,1.1097434759140015
White,$k_{ij}$,15.983193416357306,1.3549915552139282
