features,coeffsW,coeffsB
1,0.0,0.0024937897920608524
ϕW,-0.001218289503439227,0.0
ϕB,0.0,0.0
ϕW^2,-0.017562408976376374,0.0
ϕW ϕB,0.0,0.0
ϕB^2,0.0,0.0
