target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.7380688786506653
Black,$\Gamma_i$,5.232606865421088,0.5616818070411682
Black,$\nu_{iii}$,-32.69229678119011,1.016953468322754
Black,$\nu_{iij}$,3.8468487648737466,1.6827036142349243
Black,$\nu_{ijj}$,9.856062799745882,-0.2502659857273102
Black,$k_{ii}$,17.4193447103632,0.439139187335968
Black,$k_{ij}$,-9.496633097666733,1.5837695598602295
White,$T_i$,0.3755539904546736,0.5382596254348755
White,$\Gamma_i$,2.4616512730183318,0.16289721429347992
White,$\nu_{iii}$,-6.40074002350609,0.44625574350357056
White,$\nu_{iij}$,-18.90620845706837,-0.3605342507362366
White,$\nu_{ijj}$,-18.60873560375226,0.48365846276283264
White,$k_{ii}$,7.311385761355476,0.9498914480209351
White,$k_{ij}$,15.983193416357306,0.37123578786849976
