target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.08745981007814407
Black,$\Gamma_i$,5.232606865421088,0.17100919783115387
Black,$\nu_{iii}$,-32.69229678119011,-9.918522834777832
Black,$\nu_{iij}$,3.8468487648737466,2.7175371646881104
Black,$\nu_{ijj}$,9.856062799745882,2.4309499263763428
Black,$k_{ii}$,17.4193447103632,-3.9615042209625244
Black,$k_{ij}$,-9.496633097666733,-6.5408501625061035
White,$T_i$,0.3755539904546736,0.23891925811767578
White,$\Gamma_i$,2.4616512730183318,1.7463219165802002
White,$\nu_{iii}$,-6.40074002350609,-2.208357810974121
White,$\nu_{iij}$,-18.90620845706837,-6.89389181137085
White,$\nu_{ijj}$,-18.60873560375226,-7.692628860473633
White,$k_{ii}$,7.311385761355476,2.362856388092041
White,$k_{ij}$,15.983193416357306,6.26369571685791
