features,coeffsW,coeffsB
1,0.0019389402459968142,0.0047449879686940755
ϕW,0.01835631206631661,0.0
ϕB,0.0,0.040739628619683756
ϕW^2,-0.0011167438192801037,0.0
ϕW ϕB,0.0,4.053812035428273e-18
ϕB^2,0.0,0.004993723885325532
