features,coeffsW,coeffsB
1,0.033189859987631035,0.05014253457099939
ϕW,-0.0566318992888503,-0.059783036011648215
ϕB,0.0,-0.04319634830456021
ϕW^2,-0.005803999926535063,-0.017263849274339892
ϕW ϕB,0.007581092570093784,0.08836109434770163
ϕB^2,-0.02127820801504818,-0.019801151032813682
