features,coeffsW,coeffsB
1,0.12092395965230698,-0.06878750462823922
ϕW,-0.18585459329198878,0.10291431429749731
ϕB,0.0,-0.0034720737186897037
ϕW^2,0.0143621404655278,-0.008415896932340568
ϕW ϕB,0.010790144073235395,-0.015110140716241373
ϕB^2,-0.0619521758447287,-0.037155255345119535
